
Community,Team,Year,Championships
Madrid,Real Madrid,2000,1
Madrid,Real Madrid,2001,1
Madrid,Real Madrid,2002,1
Madrid,Real Madrid,2003,0
Madrid,Real Madrid,2004,0
Madrid,Real Madrid,2005,0
Madrid,Real Madrid,2006,1
Madrid,Real Madrid,2007,1
Madrid,Real Madrid,2008,1
Madrid,Real Madrid,2009,0
Madrid,Real Madrid,2010,1
Madrid,Real Madrid,2011,1
Madrid,Real Madrid,2012,1
Madrid,Real Madrid,2013,2
Cataluña,Barcelona,2000,0
Cataluña,Barcelona,2001,0
Cataluña,Barcelona,2002,0
Cataluña,Barcelona,2003,0
Cataluña,Barcelona,2004,1
Cataluña,Barcelona,2005,3
Cataluña,Barcelona,2006,1
Cataluña,Barcelona,2007,0
Cataluña,Barcelona,2008,3
Cataluña,Barcelona,2009,4
Cataluña,Barcelona,2010,3
Cataluña,Barcelona,2011,4
Cataluña,Barcelona,2012,1
Cataluña,Barcelona,2013,1
